instant,dteday,season,temp,hum,windspeed
277,2011-01-12,1,0.14,0.59,0.4179
278,2011-01-13,1,0.14,0.59,0.2836
279,2011-01-13,1,0.14,0.5,0.2836
280,2011-01-13,1,0.14,0.5,0.3582
281,2011-01-13,1,0.14,0.5,0.3284
282,2011-01-13,1,0.14,0.5,0.2537
283,2011-01-13,1,0.14,0.5,0.2985
284,2011-01-13,1,0.12,0.54,0.1343
285,2011-01-13,1,0.12,0.54,0.1343
286,2011-01-13,1,0.14,0.5,0.194
287,2011-01-13,1,0.14,0.5,0.3284
288,2011-01-13,1,0.16,0.5,0.3582
289,2011-01-13,1,0.2,0.44,0.4478
290,2011-01-13,1,0.2,0.44,0.4179
291,2011-01-13,1,0.22,0.41,0.4478
292,2011-01-13,1,0.22,0.41,0.3881
293,2011-01-13,1,0.24,0.38,0.2985
294,2011-01-13,1,0.24,0.38,0.3582
295,2011-01-13,1,0.2,0.4,0.2836
296,2011-01-13,1,0.2,0.4,0.3284
297,2011-01-13,1,0.16,0.47,0.2537
298,2011-01-13,1,0.16,0.47,0.2239
299,2011-01-13,1,0.14,0.46,0.2985
300,2011-01-13,1,0.14,0.46,0.3284
301,2011-01-13,1,0.12,0.5,0.194
302,2011-01-14,1,0.12,0.5,0.194
303,2011-01-14,1,0.1,0.54,0.1642
304,2011-01-14,1,0.1,0.54,0.1343
305,2011-01-14,1,0.1,0.54,0.1045
306,2011-01-14,1,0.1,0.54,0.0896
307,2011-01-14,1,0.1,0.54,0.0
308,2011-01-14,1,0.1,0.74,0.1642
309,2011-01-14,1,0.12,0.68,0.0
310,2011-01-14,1,0.14,0.69,0.1343
311,2011-01-14,1,0.18,0.55,0.194
312,2011-01-14,1,0.18,0.51,0.2836
313,2011-01-14,1,0.2,0.44,0.2537
314,2011-01-14,1,0.22,0.37,0.3881
315,2011-01-14,1,0.22,0.41,0.2836
316,2011-01-14,1,0.24,0.38,0.1642
317,2011-01-14,1,0.22,0.41,0.1045
318,2011-01-14,1,0.22,0.41,0.1642
319,2011-01-14,1,0.2,0.47,0.0
320,2011-01-14,1,0.16,0.59,0.0896
321,2011-01-14,1,0.18,0.59,0.0
322,2011-01-14,1,0.16,0.69,0.0
323,2011-01-14,1,0.16,0.69,0.0
324,2011-01-14,1,0.18,0.55,0.0
325,2011-01-15,1,0.18,0.55,0.0
326,2011-01-15,1,0.16,0.59,0.0896
327,2011-01-15,1,0.16,0.59,0.0896
328,2011-01-15,1,0.16,0.59,0.0
329,2011-01-15,1,0.16,0.59,0.0
330,2011-01-15,1,0.16,0.59,0.0
331,2011-01-15,1,0.14,0.63,0.1045
332,2011-01-15,1,0.14,0.63,0.0
333,2011-01-15,1,0.14,0.63,0.1343
334,2011-01-15,1,0.16,0.64,0.1343
335,2011-01-15,1,0.18,0.59,0.1642
336,2011-01-15,1,0.2,0.55,0.2239
337,2011-01-15,1,0.24,0.48,0.2239
338,2011-01-15,1,0.28,0.38,0.2985
339,2011-01-15,1,0.3,0.39,0.2836
340,2011-01-15,1,0.32,0.36,0.194
341,2011-01-15,1,0.34,0.34,0.194
342,2011-01-15,1,0.32,0.36,0.2836
343,2011-01-15,1,0.3,0.45,0.2537
344,2011-01-15,1,0.32,0.39,0.2537
345,2011-01-15,1,0.32,0.39,0.2537
346,2011-01-15,1,0.32,0.39,0.2239
347,2011-01-15,1,0.3,0.42,0.1045
348,2011-01-15,1,0.3,0.45,0.2836
349,2011-01-16,1,0.26,0.56,0.0
350,2011-01-16,1,0.26,0.56,0.1343
351,2011-01-16,1,0.26,0.56,0.0896
352,2011-01-16,1,0.22,0.69,0.0
353,2011-01-16,1,0.26,0.56,0.1642
354,2011-01-16,1,0.26,0.56,0.1642
355,2011-01-16,1,0.26,0.56,0.1642
356,2011-01-16,1,0.24,0.56,0.2985
357,2011-01-16,1,0.22,0.55,0.2836
358,2011-01-16,1,0.22,0.51,0.2537
359,2011-01-16,1,0.22,0.51,0.2836
360,2011-01-16,1,0.24,0.44,0.2537
361,2011-01-16,1,0.24,0.41,0.2836
362,2011-01-16,1,0.26,0.35,0.2985
363,2011-01-16,1,0.28,0.36,0.2537
364,2011-01-16,1,0.26,0.38,0.2537
365,2011-01-16,1,0.24,0.38,0.2239
366,2011-01-16,1,0.22,0.37,0.2537
367,2011-01-16,1,0.2,0.4,0.1642
368,2011-01-16,1,0.18,0.47,0.1343
369,2011-01-16,1,0.18,0.47,0.1642
370,2011-01-16,1,0.18,0.51,0.1642
371,2011-01-16,1,0.2,0.49,0.1343
372,2011-01-16,1,0.2,0.4,0.1045
373,2011-01-17,1,0.2,0.47,0.2239
374,2011-01-17,1,0.2,0.44,0.194
375,2011-01-17,1,0.18,0.43,0.2537
376,2011-01-17,1,0.18,0.43,0.194
377,2011-01-17,1,0.18,0.43,0.1343
378,2011-01-17,1,0.18,0.43,0.1642
379,2011-01-17,1,0.18,0.43,0.194
380,2011-01-17,1,0.16,0.5,0.1343
381,2011-01-17,1,0.16,0.47,0.2239
382,2011-01-17,1,0.16,0.47,0.2239
383,2011-01-17,1,0.16,0.5,0.2537
384,2011-01-17,1,0.16,0.55,0.194
385,2011-01-17,1,0.18,0.47,0.1343
386,2011-01-17,1,0.18,0.47,0.1343
387,2011-01-17,1,0.18,0.43,0.1045
388,2011-01-17,1,0.2,0.47,0.1642
389,2011-01-17,1,0.2,0.47,0.1642
390,2011-01-17,1,0.2,0.51,0.194
391,2011-01-17,1,0.18,0.55,0.2537
392,2011-01-17,1,0.18,0.59,0.194
393,2011-01-17,1,0.16,0.8,0.194
394,2011-01-17,1,0.16,0.8,0.194
395,2011-01-17,1,0.14,0.93,0.2537
396,2011-01-17,1,0.16,0.86,0.2836
397,2011-01-18,1,0.2,0.86,0.3284
398,2011-01-18,1,0.2,0.86,0.2239
399,2011-01-18,1,0.22,0.8,0.1642
400,2011-01-18,1,0.22,0.87,0.1642
401,2011-01-18,1,0.22,0.87,0.194
402,2011-01-18,1,0.22,0.82,0.194
403,2011-01-18,1,0.22,0.8,0.1642
404,2011-01-18,1,0.22,0.8,0.1343
405,2011-01-18,1,0.22,0.87,0.0
406,2011-01-18,1,0.22,0.93,0.1045
407,2011-01-18,1,0.22,0.93,0.0896
408,2011-01-18,1,0.22,0.93,0.0
409,2011-01-19,1,0.22,0.93,0.0
410,2011-01-19,1,0.22,0.93,0.1343
411,2011-01-19,1,0.22,0.93,0.1343
412,2011-01-19,1,0.22,0.93,0.1343
413,2011-01-19,1,0.22,0.93,0.0896
414,2011-01-19,1,0.22,0.93,0.0896
415,2011-01-19,1,0.24,0.92,0.1045
416,2011-01-19,1,0.24,0.93,0.1045
417,2011-01-19,1,0.24,0.93,0.1045
418,2011-01-19,1,0.26,0.93,0.1343
419,2011-01-19,1,0.28,0.87,0.0896
420,2011-01-19,1,0.3,0.81,0.0896
421,2011-01-19,1,0.4,0.62,0.2836
422,2011-01-19,1,0.4,0.58,0.2537
423,2011-01-19,1,0.4,0.54,0.2836
424,2011-01-19,1,0.38,0.58,0.3881
425,2011-01-19,1,0.36,0.57,0.3284
426,2011-01-19,1,0.34,0.61,0.2836
427,2011-01-19,1,0.32,0.57,0.4179
428,2011-01-19,1,0.32,0.49,0.2985
429,2011-01-19,1,0.32,0.49,0.4179
430,2011-01-19,1,0.3,0.52,0.1642
431,2011-01-19,1,0.3,0.52,0.4627
432,2011-01-20,1,0.26,0.56,0.3881
433,2011-01-20,1,0.26,0.56,0.0
434,2011-01-20,1,0.26,0.56,0.0
435,2011-01-20,1,0.26,0.56,0.1642
436,2011-01-20,1,0.26,0.56,0.1642
437,2011-01-20,1,0.24,0.6,0.2239
438,2011-01-20,1,0.22,0.6,0.2239
439,2011-01-20,1,0.22,0.55,0.2239
440,2011-01-20,1,0.22,0.55,0.2836
441,2011-01-20,1,0.24,0.52,0.2239
442,2011-01-20,1,0.26,0.48,0.2985
443,2011-01-20,1,0.28,0.45,0.1642
444,2011-01-20,1,0.3,0.42,0.0
445,2011-01-20,1,0.28,0.45,0.1045
446,2011-01-20,1,0.3,0.45,0.1343
447,2011-01-20,1,0.32,0.45,0.194
448,2011-01-20,1,0.3,0.49,0.1343
449,2011-01-20,1,0.3,0.49,0.1045
450,2011-01-20,1,0.26,0.56,0.194
451,2011-01-20,1,0.26,0.56,0.3284
452,2011-01-20,1,0.26,0.6,0.2836
453,2011-01-20,1,0.24,0.6,0.2537
454,2011-01-20,1,0.24,0.65,0.2836
455,2011-01-20,1,0.24,0.65,0.3284
456,2011-01-21,1,0.24,0.7,0.2537
457,2011-01-21,1,0.24,0.7,0.2537
458,2011-01-21,1,0.24,0.75,0.1642
459,2011-01-21,1,0.22,0.8,0.2985
460,2011-01-21,1,0.22,0.87,0.0896
461,2011-01-21,1,0.24,0.6,0.4179
462,2011-01-21,1,0.22,0.55,0.2537
463,2011-01-21,1,0.2,0.51,0.2836
464,2011-01-21,1,0.2,0.47,0.3284
465,2011-01-21,1,0.2,0.51,0.3582
466,2011-01-21,1,0.2,0.47,0.4627
467,2011-01-21,1,0.22,0.41,0.4627
468,2011-01-21,1,0.22,0.27,0.5821
469,2011-01-21,1,0.2,0.21,0.5821
470,2011-01-21,1,0.2,0.25,0.5224
471,2011-01-21,1,0.16,0.26,0.4478
472,2011-01-21,1,0.16,0.26,0.3582
473,2011-01-21,1,0.14,0.28,0.3582
474,2011-01-21,1,0.12,0.3,0.2537
475,2011-01-21,1,0.12,0.3,0.3284
476,2011-01-21,1,0.1,0.33,0.4179
477,2011-01-21,1,0.08,0.38,0.2836
478,2011-01-21,1,0.06,0.41,0.3881
479,2011-01-21,1,0.06,0.38,0.3284
480,2011-01-22,1,0.04,0.45,0.2537
481,2011-01-22,1,0.04,0.41,0.3881
482,2011-01-22,1,0.04,0.41,0.2537
483,2011-01-22,1,0.04,0.41,0.2836
484,2011-01-22,1,0.02,0.48,0.2985
485,2011-01-22,1,0.02,0.44,0.2239
486,2011-01-22,1,0.02,0.44,0.2836
487,2011-01-22,1,0.02,0.44,0.3284
488,2011-01-22,1,0.04,0.41,0.2537
489,2011-01-22,1,0.04,0.41,0.1642
490,2011-01-22,1,0.06,0.38,0.1343
491,2011-01-22,1,0.06,0.38,0.1045
492,2011-01-22,1,0.08,0.35,0.0
493,2011-01-22,1,0.1,0.33,0.1045
494,2011-01-22,1,0.12,0.28,0.0
495,2011-01-22,1,0.12,0.28,0.194
496,2011-01-22,1,0.12,0.28,0.0
497,2011-01-22,1,0.08,0.35,0.194
498,2011-01-22,1,0.08,0.35,0.1343
499,2011-01-22,1,0.06,0.45,0.1642
500,2011-01-22,1,0.06,0.41,0.0896
501,2011-01-22,1,0.06,0.49,0.0
502,2011-01-22,1,0.04,0.57,0.1045
503,2011-01-23,1,0.04,0.57,0.1045
504,2011-01-23,1,0.04,0.57,0.1045
505,2011-01-23,1,0.02,0.62,0.1343
506,2011-01-23,1,0.02,0.62,0.1343
507,2011-01-23,1,0.04,0.57,0.1045
508,2011-01-23,1,0.04,0.57,0.1045
509,2011-01-23,1,0.08,0.58,0.1642
510,2011-01-23,1,0.06,0.62,0.1642
511,2011-01-23,1,0.1,0.54,0.3582
512,2011-01-23,1,0.14,0.46,0.3881
513,2011-01-23,1,0.14,0.43,0.2239
514,2011-01-23,1,0.16,0.37,0.4627
515,2011-01-23,1,0.14,0.33,0.3881
516,2011-01-23,1,0.16,0.28,0.3582
517,2011-01-23,1,0.16,0.28,0.3582
518,2011-01-23,1,0.16,0.26,0.3284
519,2011-01-23,1,0.14,0.26,0.3881
520,2011-01-23,1,0.12,0.3,0.2537
521,2011-01-23,1,0.12,0.3,0.2836
522,2011-01-23,1,0.1,0.36,0.2537
523,2011-01-23,1,0.1,0.36,0.194
524,2011-01-23,1,0.08,0.38,0.194
525,2011-01-23,1,0.06,0.41,0.2239
526,2011-01-24,1,0.06,0.41,0.194
527,2011-01-24,1,0.04,0.45,0.194
528,2011-01-24,1,0.04,0.45,0.2537
529,2011-01-24,1,0.02,0.48,0.1343
530,2011-01-24,1,0.02,0.48,0.1343
531,2011-01-24,1,0.02,0.48,0.0896
532,2011-01-24,1,0.02,0.48,0.0
533,2011-01-24,1,0.04,0.49,0.0
534,2011-01-24,1,0.06,0.41,0.0
535,2011-01-24,1,0.1,0.42,0.0
536,2011-01-24,1,0.1,0.46,0.1343
537,2011-01-24,1,0.12,0.42,0.194
538,2011-01-24,1,0.14,0.43,0.2239
539,2011-01-24,1,0.14,0.46,0.2239
540,2011-01-24,1,0.16,0.4,0.1642
541,2011-01-24,1,0.16,0.47,0.2537
542,2011-01-24,1,0.14,0.5,0.2537
543,2011-01-24,1,0.14,0.59,0.194
544,2011-01-24,1,0.14,0.54,0.1642
545,2011-01-24,1,0.14,0.59,0.194
546,2011-01-24,1,0.14,0.63,0.1642
547,2011-01-24,1,0.14,0.63,0.2239
548,2011-01-24,1,0.16,0.64,0.2537
549,2011-01-25,1,0.16,0.69,0.2836
550,2011-01-25,1,0.16,0.69,0.1642
551,2011-01-25,1,0.16,0.69,0.2239
552,2011-01-25,1,0.14,0.74,0.1045
553,2011-01-25,1,0.14,0.74,0.2239
554,2011-01-25,1,0.16,0.74,0.1045
555,2011-01-25,1,0.16,0.74,0.2239
556,2011-01-25,1,0.16,0.74,0.1343
557,2011-01-25,1,0.2,0.64,0.0896
558,2011-01-25,1,0.22,0.6,0.1045
559,2011-01-25,1,0.24,0.6,0.1343
560,2011-01-25,1,0.26,0.56,0.0896
561,2011-01-25,1,0.26,0.56,0.1343
562,2011-01-25,1,0.3,0.45,0.0
563,2011-01-25,1,0.32,0.42,0.0
564,2011-01-25,1,0.32,0.42,0.0
565,2011-01-25,1,0.3,0.45,0.0
566,2011-01-25,1,0.3,0.49,0.0896
567,2011-01-25,1,0.26,0.65,0.1642
568,2011-01-25,1,0.24,0.65,0.194
569,2011-01-25,1,0.24,0.65,0.194
570,2011-01-25,1,0.22,0.64,0.1642
571,2011-01-25,1,0.22,0.64,0.1642
572,2011-01-26,1,0.22,0.69,0.1343
573,2011-01-26,1,0.24,0.65,0.1343
574,2011-01-26,1,0.22,0.69,0.194
575,2011-01-26,1,0.2,0.86,0.2836
576,2011-01-26,1,0.2,0.86,0.2836
577,2011-01-26,1,0.22,0.87,0.2985
578,2011-01-26,1,0.22,0.87,0.2985
579,2011-01-26,1,0.22,0.87,0.2985
580,2011-01-26,1,0.22,0.93,0.2836
581,2011-01-26,1,0.22,0.93,0.3284
582,2011-01-26,1,0.22,0.93,0.3284
583,2011-01-26,1,0.22,0.93,0.3284
584,2011-01-26,1,0.22,0.93,0.3582
585,2011-01-26,1,0.22,0.93,0.4627
586,2011-01-26,1,0.22,0.93,0.3284
